name	artist_uri	artist_image	artist_url	artist_popularity	avg_related_artist_pop	followers	genres	num_genres
Tyga	spotify:artist:5LHRHt1k9lMyONurDHEdrp	https://i.scdn.co/image/ab6761610000e5ebe06acd7b2c11c16d67058173	https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp	79	71.7	6613692	['dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']	7
Kris Kross Amsterdam	spotify:artist:4LcUpNlXFEleaLlelmkv2R	https://i.scdn.co/image/ab6761610000e5eb02a9d9e2858b10799109ad25	https://open.spotify.com/artist/4LcUpNlXFEleaLlelmkv2R	64	57.95	172053	['dutch house', 'dutch pop']	2
Carlos Rivera	spotify:artist:39yVoqm6sYFvvqF1RciUVf	https://i.scdn.co/image/ab6761610000e5ebd471aab52533508e4bcf9ba4	https://open.spotify.com/artist/39yVoqm6sYFvvqF1RciUVf	72	62.15	3570202	['latin', 'latin arena pop', 'latin pop', 'mexican pop']	4
Nicki Minaj	spotify:artist:0hCNtLu0JehylgoiP8L4Gh	https://i.scdn.co/image/ab6761610000e5ebaf3459f7c235fd25daf7f84f	https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh	84	68.4	25442501	['dance pop', 'hip pop', 'pop', 'pop rap', 'queens hip hop']	5
Viceroy	spotify:artist:5PzC9pOeviQlNF6iGlUF5C	https://i.scdn.co/image/ab6761610000e5ebe1b666baa854c5abcf09e2e3	https://open.spotify.com/artist/5PzC9pOeviQlNF6iGlUF5C	36	39.4	20243	['nu disco']	1
David Solomon	spotify:artist:3fzRb5i8Wn7ao2KPDxEiTR	https://i.scdn.co/image/ab6761610000e5ebf5445827540f3cae3c5e5e72	https://open.spotify.com/artist/3fzRb5i8Wn7ao2KPDxEiTR	47	51.8	20122	[]	0
John Mayer	spotify:artist:0hEurMDQu99nJRq8pTxO14	https://i.scdn.co/image/ab6761610000e5eb265ef5547ecff4dabd6352bf	https://open.spotify.com/artist/0hEurMDQu99nJRq8pTxO14	76	61.05	5553036	['neo mellow', 'singer-songwriter']	2
RÜFÜS DU SOL	spotify:artist:5Pb27ujIyYb33zBqVysBkj	https://i.scdn.co/image/ab6761610000e5eba5d83556275bb22511f57624	https://open.spotify.com/artist/5Pb27ujIyYb33zBqVysBkj	69	52.0	1035928	['australian electropop', 'indietronica']	2
Lil Baby	spotify:artist:5f7VJjfbwm532GiveGC0ZK	https://i.scdn.co/image/ab6761610000e5eb2161ef3bab0e5e922a1c297d	https://open.spotify.com/artist/5f7VJjfbwm532GiveGC0ZK	87	73.1	10829478	['atl hip hop', 'atl trap', 'rap', 'trap']	4
Cordae	spotify:artist:0huGjMyP507tBCARyzSkrv	https://i.scdn.co/image/ab6761610000e5eb0bebdba309a2cf06bc38addb	https://open.spotify.com/artist/0huGjMyP507tBCARyzSkrv	67	60.2	1780515	['dmv rap', 'hip hop', 'rap', 'trap']	4
Alec Benjamin	spotify:artist:5IH6FPUwQTxPSXurCrcIov	https://i.scdn.co/image/ab6761610000e5eb72c4ca30476ce87954961a10	https://open.spotify.com/artist/5IH6FPUwQTxPSXurCrcIov	76	63.75	3606458	['alt z', 'dream smp', 'electropop', 'pop']	4
Pusha T	spotify:artist:0ONHkAv9pCAFxb0zJwDNTy	https://i.scdn.co/image/ab6761610000e5ebc5b88a3924d8318f25f20594	https://open.spotify.com/artist/0ONHkAv9pCAFxb0zJwDNTy	74	60.85	2497840	['gangster rap', 'hip hop', 'rap', 'southern hip hop', 'trap', 'virginia hip hop']	6
Anderson .Paak	spotify:artist:3jK9MiCrA42lLAdMGUZpwa	https://i.scdn.co/image/ab6761610000e5eb96287bd47570ff13f0c01496	https://open.spotify.com/artist/3jK9MiCrA42lLAdMGUZpwa	77	59.05	2193820	['escape room']	1
Silk City	spotify:artist:2X97ZAqRKRMYFIDqtvGgGc	https://i.scdn.co/image/ab6761610000e5eb5f5c0fc9c7c99744b9254dc2	https://open.spotify.com/artist/2X97ZAqRKRMYFIDqtvGgGc	57	61.75	76938	['edm']	1
Belly	spotify:artist:0FOWNUFHPnMy0vOw1siGqi	https://i.scdn.co/image/ab6761610000e5eb2357b798cc2ff630c6f2c898	https://open.spotify.com/artist/0FOWNUFHPnMy0vOw1siGqi	62	55.0	225410	['canadian hip hop', 'canadian trap', 'pop rap', 'rap', 'trap', 'trap soul']	6
Human Touch	spotify:artist:4jWs07B6UoCn74OkUTyB8X	https://i.scdn.co/image/ab6761610000e5ebae590d229d0dabc3025d9f5e	https://open.spotify.com/artist/4jWs07B6UoCn74OkUTyB8X	30	23.75	5027	['electropop']	1
